,Unnamed: 0,email_id,content,topics,main_topic,probability
10,10,11,"['Mr', 'buckner', 'for', 'deliv', 'ga', 'behind', 'san', 'diego', 'enron', 'energi', 'servic', 'appropri', 'enron', 'entiti', 'I', 'forward', 'request', 'zarin', 'imam', 'ee', 'her', 'phone', 'number', '7138537107', 'phillip', 'allen']","[('enron', 0.05882355), ('ee', 0.039215684), ('phone', 0.039215684), ('zarin', 0.039215684), ('imam', 0.039215684), ('forward', 0.039215684), ('her', 0.039215684), ('phillip', 0.039215684), ('7138537107', 0.039215684), ('entiti', 0.039215684)]",enron,0.0588235
11,11,12,"['luci', 'here', 'rentrol', 'open', 'save', 'rentrol', 'folder', 'follow', 'step', 'dont', 'misplac', 'file', '1', 'click', 'save', 'As', '2', 'click', 'drop', 'triangl', 'save', '3', 'click', 'C', 'drive', '4', 'click', 'appropri', 'folder', '5', 'click', 'save', 'phillip']","[('click', 0.105263256), ('save', 0.087719366), ('rentrol', 0.052631594), ('folder', 0.052631594), ('C', 0.035087712), ('triangl', 0.035087712), ('3', 0.035087712), ('drop', 0.035087712), ('drive', 0.035087712), ('1', 0.035087712)]",click,0.10526325
12,12,13,"['onsolid', 'posit', 'issu', 'To', 'Do', 'list', 'phillip', 'below', 'issu', 'list', 'go', 'forward', 'document', 'requir', 'consolid', 'physicalfinanci', 'posit', 'transport', 'trade', 'captur', 'what', 'need', 'focu', 'first', 'bullet', 'allan', 'list', 'need', 'singl', 'set', 'requir', 'although', 'meet', 'keith', 'wednesday', 'inform', 'solut', 'creat', 'infinit', 'dynam', 'consolid', 'posit', 'screen', 'extrem', 'difficult', 'time', 'consum', 'throughout', 'meet', 'wednesday', 'keith', 'allud', 'inabl', 'get', 'consensu', 'amongst', 'trader', 'present', 'consolid', 'posit', 'solut', 'make', 'trader', 'arrang', 'posit', 'screen', 'like', 'much', 'like', 'excel', 'what', 'need', 'happen', 'monday', '3', '5', 'effort', 'design', 'desir', 'layout', 'consolid', 'posit', 'screen', 'critic', 'thi', 'exclud', 'build', 'capabl', 'creat', 'flexibl', 'posit', 'present', 'futur', 'order', 'creat', 'plan', 'measur', 'need', 'firm', 'requir', 'also', 'reiter', 'goal', 'project', 'project', 'plan', 'consolid', 'physicalfinanci', 'posit', 'transport', 'trade', 'captur', 'the', 'issu', 'rais', 'captur', 'project', 'need', 'prioritis', 'effort', 'outsid', 'project', 'I', 'involv', 'meet', 'discuss', 'good', 'I', 'believ', 'good', 'commun', 'team', 'need', 'focu', 'object', 'set', 'solv', 'richard', 'forward', 'richard', 'burchfieldhouect', '10062000', '0834', 'AM', 'allan', 'severud', '10052000', '0603', 'PM', 'To', 'richard', 'burchfieldhouectect', 'cc', 'peggi', 'alixhouectect', 'russ', 'seversonhouectect', 'scott', 'millshouectect', 'kenni', 'hahouectect', 'subject', 'consolid', 'posit', 'issu', 'To', 'Do', 'list', 'from', 'initi', 'set', 'meet', 'trader', 'regard', 'consolid', 'posit', 'I', 'think', 'still', 'follow', 'issu', 'We', 'dont', 'singl', 'point', 'contact', 'trade', 'group', 'weve', 'three', 'meet', 'brought', 'differ', 'issu', 'differ', 'trader', 'We', 'realli', 'need', 'singl', 'point', 'contact', 'help', 'drive', 'trader', 'requir', 'help', 'come', 'consensu', 'regard', 'requir', 'were', 'get', 'hit', 'lot', 'differ', 'request', 'mani', 'appear', 'outsid', 'scope', 'posit', 'consolid', 'thing', 'left', 'I', 'think', 'may', 'use', 'tri', 'formul', 'high', 'level', 'project', 'goal', 'make', 'clear', 'possibl', 'tri', 'accomplish', 'project', 'itll', 'help', 'determin', 'request', 'fall', 'project', 'scope', 'Go', 'list', 'request', 'determin', 'scope', 'project', 'fall', 'scope', 'for', 'scope', 'work', 'defin', 'rel', 'import', 'prioriti', 'work', 'trader', 'defin', 'exact', 'requir', 'defin', 'desir', 'lay', 'posit', 'manag', 'screen', 'main', 'view', 'drill', 'down', 'use', 'formul', 'project', 'plan', 'thing', 'request', 'thu', 'far', 'particular', 'order', 'inclus', 'sitara', 'physic', 'deal', 'td', 'posit', 'manag', 'deal', 'ticker', 'custom', 'row', 'column', 'posit', 'manag', 'ad', 'hoc', 'rowscolumn', 'add', 'exist', 'posit', 'manag', 'rowscolumn', 'new', 'drill', 'posit', 'manag', 'break', 'posit', 'physic', 'transport', 'swap', 'option', 'addit', 'curv', 'tab', 'posit', 'manag', 'show', 'realtim', 'valu', 'curv', 'desk', 'posit', 'abil', 'split', 'current', 'posit', 'grid', 'allow', 'daili', 'posit', 'shown', 'directli', 'monthli', 'posit', 'each', 'group', 'column', 'top', 'grid', 'would', 'tie', 'group', 'column', 'bottom', 'grid', 'abil', 'properli', 'show', 'curv', 'shift', 'floatforfloat', 'deal', 'determin', 'appropri', 'posit', 'show', 'ga', 'daili', 'monthli', 'index', 'physic', 'ga', 'nymex', 'physic', 'ga', 'insid', 'ferc', 'physic', 'ga', 'mid', 'market', 'abil', 'td', 'pull', 'valuat', 'result', 'base', 'td', 'flag', 'instead', 'use', 'offici', 'valuat', 'posit', 'PL', 'aggreg', 'across', 'ga', 'desk', 'abil', 'includ', 'ga', 'price', 'book', 'td', 'inclus', 'spread', 'option', 'system', 'abil', 'handl', 'volatil', 'skew', 'correl', 'abil', 'revalu', 'option', 'increment', 'throughout', 'trade', 'day', 'approxim', 'delta', 'chang', 'valuat', 'use', 'instantan', 'gamma', 'gamma', 'grid', 'valuat', 'ga', 'daili', 'option', 'A', 'new', 'posit', 'screen', 'option', 'month', 'x', 'strike', 'x', 'delta', 'tbd', 'inclus', 'posit', 'exot', 'option', 'current', 'manag', 'spreadsheet', 'abil', 'isol', 'posit', 'chang', 'due', 'chang', 'deal', 'posit', 'manag', 'abil', 'view', 'chang', 'deal', 'PL', 'td', 'deal', 'ticker', 'show', 'new', 'deal', 'term', 'prior', 'deal', 'term', 'net', 'PL', 'affect', 'chang', 'elimin', 'chang', 'deal', 'econom', 'impact', 'td', 'deal', 'ticker', 'posit', 'drill', 'posit', 'manag', 'isol', 'impact', 'individu', 'deal', 'posit', 'total', 'grid', 'cell', 'benchmark', 'posit', 'td', 'deploy', 'td', 'canada', 'currenc', 'volum', 'uom', 'convers', 'implicit', 'explicit', 'posit', 'break', 'issu', 'allan', 'PS', 'colleen', 'set', 'meet', 'tomorrow', 'discu', 'direct', 'transport', 'hope', 'well', 'know', 'much', 'better', 'part', 'stand', 'point']","[('posit', 0.041872792), ('deal', 0.014778567), ('project', 0.012315452), ('manag', 0.012315452), ('abil', 0.011083897), ('td', 0.011083897), ('consolid', 0.011083897), ('issu', 0.009852343), ('ga', 0.009852342), ('need', 0.009852342)]",posit,0.04187279
13,13,14,"['onsolid', 'posit', 'issu', 'To', 'Do', 'list', 'phillip', 'below', 'issu', 'list', 'go', 'forward', 'document', 'requir', 'consolid', 'physicalfinanci', 'posit', 'transport', 'trade', 'captur', 'what', 'need', 'focu', 'first', 'bullet', 'allan', 'list', 'need', 'singl', 'set', 'requir', 'although', 'meet', 'keith', 'wednesday', 'inform', 'solut', 'creat', 'infinit', 'dynam', 'consolid', 'posit', 'screen', 'extrem', 'difficult', 'time', 'consum', 'throughout', 'meet', 'wednesday', 'keith', 'allud', 'inabl', 'get', 'consensu', 'amongst', 'trader', 'present', 'consolid', 'posit', 'solut', 'make', 'trader', 'arrang', 'posit', 'screen', 'like', 'much', 'like', 'excel', 'what', 'need', 'happen', 'monday', '3', '5', 'effort', 'design', 'desir', 'layout', 'consolid', 'posit', 'screen', 'critic', 'thi', 'exclud', 'build', 'capabl', 'creat', 'flexibl', 'posit', 'present', 'futur', 'order', 'creat', 'plan', 'measur', 'need', 'firm', 'requir', 'also', 'reiter', 'goal', 'project', 'project', 'plan', 'consolid', 'physicalfinanci', 'posit', 'transport', 'trade', 'captur', 'the', 'issu', 'rais', 'captur', 'project', 'need', 'prioritis', 'effort', 'outsid', 'project', 'I', 'involv', 'meet', 'discuss', 'good', 'I', 'believ', 'good', 'commun', 'team', 'need', 'focu', 'object', 'set', 'solv', 'richard', 'forward', 'richard', 'burchfieldhouect', '10062000', '0834', 'AM', 'allan', 'severud', '10052000', '0603', 'PM', 'To', 'richard', 'burchfieldhouectect', 'cc', 'peggi', 'alixhouectect', 'russ', 'seversonhouectect', 'scott', 'millshouectect', 'kenni', 'hahouectect', 'subject', 'consolid', 'posit', 'issu', 'To', 'Do', 'list', 'from', 'initi', 'set', 'meet', 'trader', 'regard', 'consolid', 'posit', 'I', 'think', 'still', 'follow', 'issu', 'We', 'dont', 'singl', 'point', 'contact', 'trade', 'group', 'weve', 'three', 'meet', 'brought', 'differ', 'issu', 'differ', 'trader', 'We', 'realli', 'need', 'singl', 'point', 'contact', 'help', 'drive', 'trader', 'requir', 'help', 'come', 'consensu', 'regard', 'requir', 'were', 'get', 'hit', 'lot', 'differ', 'request', 'mani', 'appear', 'outsid', 'scope', 'posit', 'consolid', 'thing', 'left', 'I', 'think', 'may', 'use', 'tri', 'formul', 'high', 'level', 'project', 'goal', 'make', 'clear', 'possibl', 'tri', 'accomplish', 'project', 'itll', 'help', 'determin', 'request', 'fall', 'project', 'scope', 'Go', 'list', 'request', 'determin', 'scope', 'project', 'fall', 'scope', 'for', 'scope', 'work', 'defin', 'rel', 'import', 'prioriti', 'work', 'trader', 'defin', 'exact', 'requir', 'defin', 'desir', 'lay', 'posit', 'manag', 'screen', 'main', 'view', 'drill', 'down', 'use', 'formul', 'project', 'plan', 'thing', 'request', 'thu', 'far', 'particular', 'order', 'inclus', 'sitara', 'physic', 'deal', 'td', 'posit', 'manag', 'deal', 'ticker', 'custom', 'row', 'column', 'posit', 'manag', 'ad', 'hoc', 'rowscolumn', 'add', 'exist', 'posit', 'manag', 'rowscolumn', 'new', 'drill', 'posit', 'manag', 'break', 'posit', 'physic', 'transport', 'swap', 'option', 'addit', 'curv', 'tab', 'posit', 'manag', 'show', 'realtim', 'valu', 'curv', 'desk', 'posit', 'abil', 'split', 'current', 'posit', 'grid', 'allow', 'daili', 'posit', 'shown', 'directli', 'monthli', 'posit', 'each', 'group', 'column', 'top', 'grid', 'would', 'tie', 'group', 'column', 'bottom', 'grid', 'abil', 'properli', 'show', 'curv', 'shift', 'floatforfloat', 'deal', 'determin', 'appropri', 'posit', 'show', 'ga', 'daili', 'monthli', 'index', 'physic', 'ga', 'nymex', 'physic', 'ga', 'insid', 'ferc', 'physic', 'ga', 'mid', 'market', 'abil', 'td', 'pull', 'valuat', 'result', 'base', 'td', 'flag', 'instead', 'use', 'offici', 'valuat', 'posit', 'PL', 'aggreg', 'across', 'ga', 'desk', 'abil', 'includ', 'ga', 'price', 'book', 'td', 'inclus', 'spread', 'option', 'system', 'abil', 'handl', 'volatil', 'skew', 'correl', 'abil', 'revalu', 'option', 'increment', 'throughout', 'trade', 'day', 'approxim', 'delta', 'chang', 'valuat', 'use', 'instantan', 'gamma', 'gamma', 'grid', 'valuat', 'ga', 'daili', 'option', 'A', 'new', 'posit', 'screen', 'option', 'month', 'x', 'strike', 'x', 'delta', 'tbd', 'inclus', 'posit', 'exot', 'option', 'current', 'manag', 'spreadsheet', 'abil', 'isol', 'posit', 'chang', 'due', 'chang', 'deal', 'posit', 'manag', 'abil', 'view', 'chang', 'deal', 'PL', 'td', 'deal', 'ticker', 'show', 'new', 'deal', 'term', 'prior', 'deal', 'term', 'net', 'PL', 'affect', 'chang', 'elimin', 'chang', 'deal', 'econom', 'impact', 'td', 'deal', 'ticker', 'posit', 'drill', 'posit', 'manag', 'isol', 'impact', 'individu', 'deal', 'posit', 'total', 'grid', 'cell', 'benchmark', 'posit', 'td', 'deploy', 'td', 'canada', 'currenc', 'volum', 'uom', 'convers', 'implicit', 'explicit', 'posit', 'break', 'issu', 'allan', 'PS', 'colleen', 'set', 'meet', 'tomorrow', 'discu', 'direct', 'transport', 'hope', 'well', 'know', 'much', 'better', 'part', 'stand', 'point']","[('posit', 0.041872792), ('deal', 0.014778567), ('manag', 0.012315454), ('project', 0.012315452), ('td', 0.011083897), ('consolid', 0.011083897), ('abil', 0.011083897), ('issu', 0.009852343), ('ga', 0.009852342), ('need', 0.009852342)]",posit,0.04187279
14,14,15,"['dave', 'here', 'name', 'west', 'desk', 'member', 'categori', 'the', 'origin', 'side', 'spars', 'phillip']","[('the', 0.08333334), ('member', 0.08333334), ('spars', 0.08333334), ('side', 0.08333334), ('origin', 0.08333334), ('dave', 0.08333334), ('categori', 0.08333334), ('name', 0.08333334), ('west', 0.08333334), ('here', 0.08333334)]",the,0.0833333
15,15,16,"['paula', '35', 'million', 'fine', 'phillip']","[('paula', 0.2), ('35', 0.2), ('million', 0.2), ('fine', 0.2), ('phillip', 0.2)]",paula,0.
16,16,17,"['north', 'america', 'corp', 'from', 'airam', 'arteaga', '10042000', '1223', 'PM', 'To', 'phillip', 'K', 'allenhouectect', 'thoma', 'A', 'martinhouectect', 'scott', 'nealhouectect', 'john', 'arnoldhouectect', 'grant', 'massonhouectect', 'ted', 'murphyhouectect', 'vladimir', 'gornyhouectect', 'frank', 'haydencorpenronenron', 'cc', 'rita', 'hennessynaenronenron', 'ina', 'rangelhouectect', 'laura', 'hardercorpenronenron', 'kimberli', 'brownhouectect', 'arac', 'romeronaenronenron', 'kimberli', 'hillishouectect', 'subject', 'var', 'report', 'resourc', 'meet', 'pleas', 'plan', 'attend', 'meet', 'topic', 'var', 'report', 'resourc', 'meet', 'date', 'wednesday', 'octob', '11th', 'time', '230', '330', 'locat', 'eb30c1', 'If', 'questionsconflict', 'pleas', 'feel', 'free', 'call', 'thank', 'rain', 'x31560']","[('meet', 0.028777028), ('report', 0.02158275), ('var', 0.02158275), ('pleas', 0.02158275), ('resourc', 0.02158275), ('kimberli', 0.02158275), ('attend', 0.014388487), ('plan', 0.014388487), ('date', 0.014388487), ('brownhouectect', 0.014388487)]",meet,0.02877702
17,17,18,"['tim', 'mike', 'grigsbi', 'problem', 'access', 'west', 'power', 'site', 'can', 'pleas', 'make', 'sure', 'activ', 'password', 'thank', 'phillip']","[('pleas', 0.0625), ('site', 0.0625), ('thank', 0.0625), ('password', 0.0625), ('activ', 0.0625), ('sure', 0.0625), ('make', 0.0625), ('tim', 0.0625), ('can', 0.0625), ('access', 0.0625)]",pleas,0.062
18,18,19,"['westgat', 'enclos', 'demograph', 'westgat', 'site', 'investor', 'allianc', 'investor', 'allianc', 'say', 'demograph', 'similar', 'packag', 'san', 'marco', 'receiv', 'earlier', 'If', 'question', 'inform', 'requir', 'let', 'know', 'then', 'let', 'know', 'interest', 'level', 'westgat', 'project', 'san', 'marco', 'the', 'properti', 'across', 'street', 'sagewood', 'unit', 'san', 'marco', 'sale', 'approv', '134', 'unit', 'the', 'land', 'sell', '250', 'per', 'squar', 'foot', 'one', 'two', 'remain', 'approv', 'multifamili', 'parcel', 'west', 'san', 'marco', 'moratorium', 'develop', 'sever', 'new', 'studi', 'look', 'show', 'rent', 'duplex', 'new', 'unit', 'go', 'significantli', 'higher', 'roughli', '125', 'per', 'squar', 'foot', 'leas', 'entir', 'unit', '12month', 'leas', '130140', 'psf', 'leas', '12month', 'term', 'individu', 'room', 'thi', 'properti', 'best', 'locat', 'student', 'hous', 'new', 'project', 'duplex', 'If', 'project', 'seriou', 'interest', 'pleas', 'let', 'know', 'short', 'window', 'opportun', 'the', 'equiti', 'requir', 'yet', 'known', 'would', 'like', '300000', 'secur', 'land', 'I', 'know', 'question', 'later', 'today', 'sincer', 'georg', 'W', 'richard', 'presid', 'creeksid', 'builder', 'llc', 'winmaildat']","[('san', 0.021834128), ('unit', 0.021834128), ('know', 0.021834128), ('marco', 0.021834128), ('new', 0.01746728), ('leas', 0.01746728), ('the', 0.01746728), ('project', 0.01746728), ('let', 0.01746728), ('westgat', 0.01746728)]",san,0.02183412
19,19,20,"['there', 'meet', 'tuesday', 'oct', '10th', '400pm', 'eb3270', 'regard', 'storag', 'strategi', 'west', 'pleas', 'mark', 'calendar', 'thank', 'regard', 'nanci', 'hall', 'ena', 'denver', 'offic', '3035756490']","[('regard', 0.06976745), ('mark', 0.046511624), ('west', 0.046511624), ('offic', 0.046511624), ('denver', 0.046511624), ('ena', 0.046511624), ('hall', 0.046511624), ('nanci', 0.046511624), ('thank', 0.046511624), ('calendar', 0.046511624)]",regard,0.0697674
20,20,21,"['brenda', 'pleas', 'use', 'second', 'check', 'octob', 'payment', 'If', 'alreadi', 'toss', 'let', 'know', 'I', 'mail', 'anoth', 'phillip']","[('toss', 0.0625), ('If', 0.0625), ('anoth', 0.0625), ('mail', 0.0625), ('I', 0.0625), ('know', 0.0625), ('let', 0.0625), ('brenda', 0.0625), ('alreadi', 0.0625), ('check', 0.0625)]",toss,0.062
21,21,22,"['I', 'think', 'fletch', 'good', 'cpa', 'I', 'still']","[('I', 0.23076926), ('think', 0.15384614), ('fletch', 0.15384614), ('good', 0.15384614), ('cpa', 0.15384614), ('still', 0.15384614)]",I,0.2307692
22,22,23,"['brenda', 'pleas', 'use', 'second', 'check', 'octob', 'payment', 'I', 'copi', 'origin', 'deal', 'Do', 'want', 'fax', 'phillip']","[('copi', 0.06666667), ('I', 0.06666667), ('fax', 0.06666667), ('want', 0.06666667), ('Do', 0.06666667), ('deal', 0.06666667), ('origin', 0.06666667), ('brenda', 0.06666667), ('check', 0.06666667), ('second', 0.06666667)]",copi,0.0666666
23,23,110,"['colleen', 'I', 'ot', 'offic', 'friday', 'keith', 'holst', 'attend', 'He', 'manag', 'transport', 'west', 'desk', 'phillip']","[('He', 0.07142858), ('holst', 0.07142858), ('desk', 0.07142858), ('west', 0.07142858), ('transport', 0.07142858), ('manag', 0.07142858), ('colleen', 0.07142858), ('attend', 0.07142858), ('ot', 0.07142858), ('friday', 0.07142858)]",He,0.0714285
24,24,24,"['oncern', 'may', 'attempt', 'manipul', 'El', 'paso', 'san', 'juan', 'monthli', 'index', 'It', 'appear', 'singl', 'buyer', 'enter', 'marketplac', 'septemb', '26', '27', 'paid', 'market', 'price', '470480', 'san', 'juan', 'ga', 'At', 'time', 'trade', 'offer', 'physic', 'ga', 'significantli', '10', '15', 'cent', 'lower', 'price', 'bypass', 'order', 'establish', 'higher', 'trade', 'report', 'index', 'calcul', 'addit', 'trade', 'line', 'associ', 'financi', 'swap', 'san', 'juan', 'We', 'compil', 'list', 'financi', 'physic', 'trade', 'execut', 'septemb', '25', 'septemb', '27', 'these', 'complet', 'list', 'trade', 'enron', 'onlin', 'eol', 'enron', 'direct', 'phone', 'convers', 'three', 'brokerag', 'firm', 'amerex', 'apb', 'prebon', 'pleas', 'see', 'attach', 'spreadsheet', 'trade', 'trade', 'list', 'summari', 'We', 'also', 'includ', 'summari', 'ga', 'daili', 'price', 'illustr', 'valu', 'san', 'juan', 'base', 'sever', 'spread', 'relationship', 'the', 'two', 'key', 'point', 'data', 'follow', '1', 'the', 'high', 'physic', 'price', '26th', '27th', '475480', 'much', 'greater', 'high', 'financi', 'trade', '463754665', 'day', '2', 'the', 'spread', 'relationship', 'san', 'juan', 'point', 'socal', 'northwest', 'consist', 'end', 'septemb', 'octob', 'ga', 'daili', 'It', 'doesnt', 'make', 'sens', 'monthli', 'index', 'dramat', 'differ', 'I', 'understand', 'review', 'trade', 'submit', 'outlier', 'hope', 'trade', 'submit', 'reveal', 'counterparti', 'name', 'abl', 'determin', 'one', 'buyer', '470', 'trade', 'outlier', 'I', 'want', 'give', 'addit', 'point', 'refer', 'aid', 'establish', 'reason', 'index', 'It', 'enron', 'belief', 'trade', '470', 'higher', 'market', 'trade', 'exclud', 'calcul', 'index', 'It', 'desir', 'reliabl', 'accur', 'index', 'conduct', 'physic', 'financi', 'busi', 'pleas', 'contact', 'anytim', 'I', 'assist', 'toward', 'goal', 'sincer', 'phillip', 'allen']","[('trade', 0.040580057), ('index', 0.020289976), ('san', 0.017391395), ('juan', 0.017391395), ('financi', 0.0144928135), ('It', 0.0144928135), ('septemb', 0.0144928135), ('ga', 0.0144928135), ('price', 0.0144928135), ('physic', 0.0144928135)]",trade,0.04058005
